Metric,Category,Company,Quarter,Value,Quarter_Order,FY,Q
CASA,PSU BANK,BANKINDIA,Q2-FY25,0.4118,1,FY25,Q2
CASA,PSU BANK,BANKINDIA,Q3-FY25,0.4105,2,FY25,Q3
CASA,PSU BANK,BANKINDIA,Q4-FY25,0.4029,3,FY25,Q4
CASA,PSU BANK,BANKINDIA,Q1-FY26,0.3988,4,FY26,Q1
CASA,PSU BANK,BANKINDIA,Q2-FY26,0.3939,5,FY26,Q2
CASA,PSU BANK,BANKINDIA,Q3-FY26,0.3797,6,FY26,Q3
CoFs,PSU BANK,BANKINDIA,Q1-FY25,0.0481,0,FY25,Q1
CoFs,PSU BANK,BANKINDIA,Q2-FY25,0.0494,1,FY25,Q2
CoFs,PSU BANK,BANKINDIA,Q3-FY25,0.0481,2,FY25,Q3
CoFs,PSU BANK,BANKINDIA,Q4-FY25,0.0473,3,FY25,Q4
CoFs,PSU BANK,BANKINDIA,Q1-FY26,0.0466,4,FY26,Q1
CoFs,PSU BANK,BANKINDIA,Q2-FY26,0.0484,5,FY26,Q2
CoFs,PSU BANK,BANKINDIA,Q3-FY26,0.0457,6,FY26,Q3
Cost to Income,PSU BANK,BANKINDIA,Q1-FY25,0.5147155866437905,0,FY25,Q1
Cost to Income,PSU BANK,BANKINDIA,Q2-FY25,0.5122,1,FY25,Q2
Cost to Income,PSU BANK,BANKINDIA,Q3-FY25,0.5263,2,FY25,Q3
Cost to Income,PSU BANK,BANKINDIA,Q4-FY25,0.485196501949215,3,FY25,Q4
Cost to Income,PSU BANK,BANKINDIA,Q1-FY26,0.5131163468545057,4,FY26,Q1
Cost to Income,PSU BANK,BANKINDIA,Q2-FY26,0.5302,5,FY26,Q2
Cost to Income,PSU BANK,BANKINDIA,Q3-FY26,0.5202,6,FY26,Q3
Credit Cost,PSU BANK,BANKINDIA,Q1-FY25,0.0085,0,FY25,Q1
Credit Cost,PSU BANK,BANKINDIA,Q2-FY25,0.0097,1,FY25,Q2
Credit Cost,PSU BANK,BANKINDIA,Q3-FY25,0.0039,2,FY25,Q3
Credit Cost,PSU BANK,BANKINDIA,Q4-FY25,0.0084,3,FY25,Q4
Credit Cost,PSU BANK,BANKINDIA,Q1-FY26,0.0068,4,FY26,Q1
Credit Cost,PSU BANK,BANKINDIA,Q2-FY26,0.0028,5,FY26,Q2
Credit Cost,PSU BANK,BANKINDIA,Q3-FY26,0.0034,6,FY26,Q3
Deposits (INR Crs),PSU BANK,BANKINDIA,Q1-FY25,764396.0,0,FY25,Q1
Deposits (INR Crs),PSU BANK,BANKINDIA,Q2-FY25,775181.0,1,FY25,Q2
Deposits (INR Crs),PSU BANK,BANKINDIA,Q3-FY25,794788.0,2,FY25,Q3
Deposits (INR Crs),PSU BANK,BANKINDIA,Q4-FY25,816541.0,3,FY25,Q4
Deposits (INR Crs),PSU BANK,BANKINDIA,Q1-FY26,833698.0,4,FY26,Q1
Deposits (INR Crs),PSU BANK,BANKINDIA,Q2-FY26,853301.0,5,FY26,Q2
Deposits (INR Crs),PSU BANK,BANKINDIA,Q3-FY26,887288.0,6,FY26,Q3
GNPA,PSU BANK,BANKINDIA,Q1-FY25,0.0462,0,FY25,Q1
GNPA,PSU BANK,BANKINDIA,Q2-FY25,0.0442,1,FY25,Q2
GNPA,PSU BANK,BANKINDIA,Q3-FY25,0.0369,2,FY25,Q3
GNPA,PSU BANK,BANKINDIA,Q4-FY25,0.0327,3,FY25,Q4
GNPA,PSU BANK,BANKINDIA,Q1-FY26,0.0292,4,FY26,Q1
GNPA,PSU BANK,BANKINDIA,Q2-FY26,0.0254,5,FY26,Q2
GNPA,PSU BANK,BANKINDIA,Q3-FY26,0.0226,6,FY26,Q3
Leverage,PSU BANK,BANKINDIA,Q1-FY25,12.289855072463768,0,FY25,Q1
Leverage,PSU BANK,BANKINDIA,Q2-FY25,,1,FY25,Q2
Leverage,PSU BANK,BANKINDIA,Q3-FY25,,2,FY25,Q3
Leverage,PSU BANK,BANKINDIA,Q4-FY25,11.961783439490446,3,FY25,Q4
Leverage,PSU BANK,BANKINDIA,Q1-FY26,12.164556962025316,4,FY26,Q1
Leverage,PSU BANK,BANKINDIA,Q2-FY26,,5,FY26,Q2
Leverage,PSU BANK,BANKINDIA,Q3-FY26,,6,FY26,Q3
NII,PSU BANK,BANKINDIA,Q1-FY25,6275.0,0,FY25,Q1
NII,PSU BANK,BANKINDIA,Q2-FY25,5886.0,1,FY25,Q2
NII,PSU BANK,BANKINDIA,Q3-FY25,6070.0,2,FY25,Q3
NII,PSU BANK,BANKINDIA,Q4-FY25,6063.0,3,FY25,Q4
NII,PSU BANK,BANKINDIA,Q1-FY26,6068.0,4,FY26,Q1
NII,PSU BANK,BANKINDIA,Q2-FY26,5912.0,5,FY26,Q2
NII,PSU BANK,BANKINDIA,Q3-FY26,6461.0,6,FY26,Q3
NIMs,PSU BANK,BANKINDIA,Q1-FY25,0.0307,0,FY25,Q1
NIMs,PSU BANK,BANKINDIA,Q2-FY25,0.0281,1,FY25,Q2
NIMs,PSU BANK,BANKINDIA,Q3-FY25,0.028,2,FY25,Q3
NIMs,PSU BANK,BANKINDIA,Q4-FY25,0.0261,3,FY25,Q4
NIMs,PSU BANK,BANKINDIA,Q1-FY26,0.0255,4,FY26,Q1
NIMs,PSU BANK,BANKINDIA,Q2-FY26,0.0241,5,FY26,Q2
NIMs,PSU BANK,BANKINDIA,Q3-FY26,0.0257,6,FY26,Q3
NNPA,PSU BANK,BANKINDIA,Q1-FY25,0.0099,0,FY25,Q1
NNPA,PSU BANK,BANKINDIA,Q2-FY25,0.0094,1,FY25,Q2
NNPA,PSU BANK,BANKINDIA,Q3-FY25,0.0085,2,FY25,Q3
NNPA,PSU BANK,BANKINDIA,Q4-FY25,0.0082,3,FY25,Q4
NNPA,PSU BANK,BANKINDIA,Q1-FY26,0.0075,4,FY26,Q1
NNPA,PSU BANK,BANKINDIA,Q2-FY26,0.0065,5,FY26,Q2
NNPA,PSU BANK,BANKINDIA,Q3-FY26,0.006,6,FY26,Q3
Opex to AUM,PSU BANK,BANKINDIA,Q1-FY25,,0,FY25,Q1
Opex to AUM,PSU BANK,BANKINDIA,Q2-FY25,,1,FY25,Q2
Opex to AUM,PSU BANK,BANKINDIA,Q3-FY25,,2,FY25,Q3
Opex to AUM,PSU BANK,BANKINDIA,Q4-FY25,,3,FY25,Q4
Opex to AUM,PSU BANK,BANKINDIA,Q1-FY26,,4,FY26,Q1
Opex to AUM,PSU BANK,BANKINDIA,Q2-FY26,,5,FY26,Q2
Opex to AUM,PSU BANK,BANKINDIA,Q3-FY26,,6,FY26,Q3
Other Income,PSU BANK,BANKINDIA,Q1-FY25,1302.0,0,FY25,Q1
Other Income,PSU BANK,BANKINDIA,Q2-FY25,2518.0,1,FY25,Q2
Other Income,PSU BANK,BANKINDIA,Q3-FY25,1747.0,2,FY25,Q3
Other Income,PSU BANK,BANKINDIA,Q4-FY25,3428.0,3,FY25,Q4
Other Income,PSU BANK,BANKINDIA,Q1-FY26,2166.0,4,FY26,Q1
Other Income,PSU BANK,BANKINDIA,Q2-FY26,2220.0,5,FY26,Q2
Other Income,PSU BANK,BANKINDIA,Q3-FY26,2279.0,6,FY26,Q3
PAT (INR Crs),PSU BANK,BANKINDIA,Q1-FY25,1703.0,0,FY25,Q1
PAT (INR Crs),PSU BANK,BANKINDIA,Q2-FY25,2374.0,1,FY25,Q2
PAT (INR Crs),PSU BANK,BANKINDIA,Q3-FY25,2517.0,2,FY25,Q3
PAT (INR Crs),PSU BANK,BANKINDIA,Q4-FY25,2626.0,3,FY25,Q4
PAT (INR Crs),PSU BANK,BANKINDIA,Q1-FY26,2252.0,4,FY26,Q1
PAT (INR Crs),PSU BANK,BANKINDIA,Q2-FY26,2555.0,5,FY26,Q2
PAT (INR Crs),PSU BANK,BANKINDIA,Q3-FY26,2705.0,6,FY26,Q3
PCR,PSU BANK,BANKINDIA,Q1-FY25,0.9211,0,FY25,Q1
PCR,PSU BANK,BANKINDIA,Q2-FY25,0.9222,1,FY25,Q2
PCR,PSU BANK,BANKINDIA,Q3-FY25,0.9248,2,FY25,Q3
PCR,PSU BANK,BANKINDIA,Q4-FY25,0.9239,3,FY25,Q4
PCR,PSU BANK,BANKINDIA,Q1-FY26,0.9294,4,FY26,Q1
PCR,PSU BANK,BANKINDIA,Q2-FY26,0.9339,5,FY26,Q2
PCR,PSU BANK,BANKINDIA,Q3-FY26,0.936,6,FY26,Q3
RoA,PSU BANK,BANKINDIA,Q1-FY25,0.007,0,FY25,Q1
RoA,PSU BANK,BANKINDIA,Q2-FY25,0.0094,1,FY25,Q2
RoA,PSU BANK,BANKINDIA,Q3-FY25,0.0096,2,FY25,Q3
RoA,PSU BANK,BANKINDIA,Q4-FY25,0.0098,3,FY25,Q4
RoA,PSU BANK,BANKINDIA,Q1-FY26,0.0082,4,FY26,Q1
RoA,PSU BANK,BANKINDIA,Q2-FY26,0.0091,5,FY26,Q2
RoA,PSU BANK,BANKINDIA,Q3-FY26,0.0096,6,FY26,Q3
RoE,PSU BANK,BANKINDIA,Q1-FY25,0.1348,0,FY25,Q1
RoE,PSU BANK,BANKINDIA,Q2-FY25,0.1633,1,FY25,Q2
RoE,PSU BANK,BANKINDIA,Q3-FY25,0.1653,2,FY25,Q3
RoE,PSU BANK,BANKINDIA,Q4-FY25,0.1641,3,FY25,Q4
RoE,PSU BANK,BANKINDIA,Q1-FY26,0.1355,4,FY26,Q1
RoE,PSU BANK,BANKINDIA,Q2-FY26,0.1494,5,FY26,Q2
RoE,PSU BANK,BANKINDIA,Q3-FY26,0.1534,6,FY26,Q3
Yields,PSU BANK,BANKINDIA,Q1-FY25,0.086,0,FY25,Q1
Yields,PSU BANK,BANKINDIA,Q2-FY25,0.0843,1,FY25,Q2
Yields,PSU BANK,BANKINDIA,Q3-FY25,0.0855,2,FY25,Q3
Yields,PSU BANK,BANKINDIA,Q4-FY25,0.0827,3,FY25,Q4
Yields,PSU BANK,BANKINDIA,Q1-FY26,0.0801,4,FY26,Q1
Yields,PSU BANK,BANKINDIA,Q2-FY26,0.0781,5,FY26,Q2
Yields,PSU BANK,BANKINDIA,Q3-FY26,0.0781,6,FY26,Q3
Advances (INR Crs),PSU BANK,CANBK,Q1-FY25,975183.0,0,FY25,Q1
Advances (INR Crs),PSU BANK,CANBK,Q2-FY25,1011997.0,1,FY25,Q2
Advances (INR Crs),PSU BANK,CANBK,Q3-FY25,1011997.0,2,FY25,Q3
Advances (INR Crs),PSU BANK,CANBK,Q4-FY25,1073332.0,3,FY25,Q4
Advances (INR Crs),PSU BANK,CANBK,Q1-FY26,1096329.0,4,FY26,Q1
Advances (INR Crs),PSU BANK,CANBK,Q2-FY26,1151041.0,5,FY26,Q2
Advances (INR Crs),PSU BANK,CANBK,Q3-FY26,1192326.0,6,FY26,Q3
CAR,PSU BANK,CANBK,Q1-FY25,0.1628,0,FY25,Q1
CAR,PSU BANK,CANBK,Q2-FY25,0.1657,1,FY25,Q2
CAR,PSU BANK,CANBK,Q3-FY25,0.1644,2,FY25,Q3
CAR,PSU BANK,CANBK,Q4-FY25,0.1633,3,FY25,Q4
CAR,PSU BANK,CANBK,Q1-FY26,0.1652,4,FY26,Q1
CAR,PSU BANK,CANBK,Q2-FY26,0.162,5,FY26,Q2
CAR,PSU BANK,CANBK,Q3-FY26,0.165,6,FY26,Q3
CASA,PSU BANK,CANBK,Q1-FY25,0.2853932584269663,0,FY25,Q1
CASA,PSU BANK,CANBK,Q2-FY25,,1,FY25,Q2
CASA,PSU BANK,CANBK,Q3-FY25,,2,FY25,Q3
CASA,PSU BANK,CANBK,Q4-FY25,0.2847632120796156,3,FY25,Q4
CASA,PSU BANK,CANBK,Q1-FY26,0.269550408719346,4,FY26,Q1
CASA,PSU BANK,CANBK,Q2-FY26,0.3069,5,FY26,Q2
CASA,PSU BANK,CANBK,Q3-FY26,,6,FY26,Q3
CoFs,PSU BANK,CANBK,Q1-FY25,0.0525,0,FY25,Q1
CoFs,PSU BANK,CANBK,Q2-FY25,0.0526,1,FY25,Q2
CoFs,PSU BANK,CANBK,Q3-FY25,0.0528,2,FY25,Q3
CoFs,PSU BANK,CANBK,Q4-FY25,0.0528,3,FY25,Q4
CoFs,PSU BANK,CANBK,Q1-FY26,0.0527,4,FY26,Q1
CoFs,PSU BANK,CANBK,Q2-FY26,0.0521,5,FY26,Q2
CoFs,PSU BANK,CANBK,Q3-FY26,0.0518,6,FY26,Q3
Cost to Income,PSU BANK,CANBK,Q1-FY25,0.4742,0,FY25,Q1
Cost to Income,PSU BANK,CANBK,Q2-FY25,0.4755,1,FY25,Q2
Cost to Income,PSU BANK,CANBK,Q3-FY25,0.5037,2,FY25,Q3
Cost to Income,PSU BANK,CANBK,Q4-FY25,0.4755,3,FY25,Q4
Cost to Income,PSU BANK,CANBK,Q1-FY26,0.4677,4,FY26,Q1
Cost to Income,PSU BANK,CANBK,Q2-FY26,0.4697,5,FY26,Q2
Cost to Income,PSU BANK,CANBK,Q3-FY26,0.4683,6,FY26,Q3
Credit Cost,PSU BANK,CANBK,Q1-FY25,0.009,0,FY25,Q1
Credit Cost,PSU BANK,CANBK,Q2-FY25,0.0097,1,FY25,Q2
Credit Cost,PSU BANK,CANBK,Q3-FY25,0.0064,2,FY25,Q3
Credit Cost,PSU BANK,CANBK,Q4-FY25,0.0092,3,FY25,Q4
Credit Cost,PSU BANK,CANBK,Q1-FY26,0.0072,4,FY26,Q1
Credit Cost,PSU BANK,CANBK,Q2-FY26,0.0068,5,FY26,Q2
Credit Cost,PSU BANK,CANBK,Q3-FY26,0.0064,6,FY26,Q3
Deposits (INR Crs),PSU BANK,CANBK,Q1-FY25,1335167.0,0,FY25,Q1
Deposits (INR Crs),PSU BANK,CANBK,Q2-FY25,1347347.0,1,FY25,Q2
Deposits (INR Crs),PSU BANK,CANBK,Q3-FY25,1347347.0,2,FY25,Q3
Deposits (INR Crs),PSU BANK,CANBK,Q4-FY25,1456883.0,3,FY25,Q4
Deposits (INR Crs),PSU BANK,CANBK,Q1-FY26,1467655.0,4,FY26,Q1
Deposits (INR Crs),PSU BANK,CANBK,Q2-FY26,1527922.0,5,FY26,Q2
Deposits (INR Crs),PSU BANK,CANBK,Q3-FY26,1521268.0,6,FY26,Q3
GNPA,PSU BANK,CANBK,Q1-FY25,0.0414,0,FY25,Q1
GNPA,PSU BANK,CANBK,Q2-FY25,0.0373,1,FY25,Q2
GNPA,PSU BANK,CANBK,Q3-FY25,0.0334,2,FY25,Q3
GNPA,PSU BANK,CANBK,Q4-FY25,0.0294,3,FY25,Q4
GNPA,PSU BANK,CANBK,Q1-FY26,0.0269,4,FY26,Q1
GNPA,PSU BANK,CANBK,Q2-FY26,0.0235,5,FY26,Q2
GNPA,PSU BANK,CANBK,Q3-FY26,0.0208,6,FY26,Q3
Leverage,PSU BANK,CANBK,Q1-FY25,,0,FY25,Q1
Leverage,PSU BANK,CANBK,Q2-FY25,,1,FY25,Q2
Leverage,PSU BANK,CANBK,Q3-FY25,,2,FY25,Q3
Leverage,PSU BANK,CANBK,Q4-FY25,,3,FY25,Q4
Leverage,PSU BANK,CANBK,Q1-FY26,,4,FY26,Q1
Leverage,PSU BANK,CANBK,Q2-FY26,,5,FY26,Q2
Leverage,PSU BANK,CANBK,Q3-FY26,,6,FY26,Q3
NII,PSU BANK,CANBK,Q1-FY25,9009.0,0,FY25,Q1
NII,PSU BANK,CANBK,Q2-FY25,9315.0,1,FY25,Q2
NII,PSU BANK,CANBK,Q3-FY25,9149.0,2,FY25,Q3
NII,PSU BANK,CANBK,Q4-FY25,9442.0,3,FY25,Q4
NII,PSU BANK,CANBK,Q1-FY26,9166.0,4,FY26,Q1
NII,PSU BANK,CANBK,Q2-FY26,9141.0,5,FY26,Q2
NII,PSU BANK,CANBK,Q3-FY26,9252.0,6,FY26,Q3
NIMs,PSU BANK,CANBK,Q1-FY25,0.029,0,FY25,Q1
NIMs,PSU BANK,CANBK,Q2-FY25,0.0286,1,FY25,Q2
NIMs,PSU BANK,CANBK,Q3-FY25,0.0283,2,FY25,Q3
NIMs,PSU BANK,CANBK,Q4-FY25,0.0273,3,FY25,Q4
NIMs,PSU BANK,CANBK,Q1-FY26,0.0255,4,FY26,Q1
NIMs,PSU BANK,CANBK,Q2-FY26,0.025,5,FY26,Q2
NIMs,PSU BANK,CANBK,Q3-FY26,0.0245,6,FY26,Q3
NNPA,PSU BANK,CANBK,Q1-FY25,0.0124,0,FY25,Q1
NNPA,PSU BANK,CANBK,Q2-FY25,0.0099,1,FY25,Q2
NNPA,PSU BANK,CANBK,Q3-FY25,0.0089,2,FY25,Q3
NNPA,PSU BANK,CANBK,Q4-FY25,0.007,3,FY25,Q4
NNPA,PSU BANK,CANBK,Q1-FY26,0.0063,4,FY26,Q1
NNPA,PSU BANK,CANBK,Q2-FY26,0.0054,5,FY26,Q2
NNPA,PSU BANK,CANBK,Q3-FY26,0.0045,6,FY26,Q3
Opex to AUM,PSU BANK,CANBK,Q1-FY25,,0,FY25,Q1
Opex to AUM,PSU BANK,CANBK,Q2-FY25,,1,FY25,Q2
Opex to AUM,PSU BANK,CANBK,Q3-FY25,,2,FY25,Q3
Opex to AUM,PSU BANK,CANBK,Q4-FY25,,3,FY25,Q4
Opex to AUM,PSU BANK,CANBK,Q1-FY26,,4,FY26,Q1
Opex to AUM,PSU BANK,CANBK,Q2-FY26,,5,FY26,Q2
Opex to AUM,PSU BANK,CANBK,Q3-FY26,,6,FY26,Q3
Other Income,PSU BANK,CANBK,Q1-FY25,5319.0,0,FY25,Q1
Other Income,PSU BANK,CANBK,Q2-FY25,4981.0,1,FY25,Q2
Other Income,PSU BANK,CANBK,Q3-FY25,5802.0,2,FY25,Q3
Other Income,PSU BANK,CANBK,Q4-FY25,6351.0,3,FY25,Q4
Other Income,PSU BANK,CANBK,Q1-FY26,7060.0,4,FY26,Q1
Other Income,PSU BANK,CANBK,Q2-FY26,7054.0,5,FY26,Q2
Other Income,PSU BANK,CANBK,Q3-FY26,7900.0,6,FY26,Q3
PAT (INR Crs),PSU BANK,CANBK,Q1-FY25,4752.0,0,FY25,Q1
PAT (INR Crs),PSU BANK,CANBK,Q2-FY25,4014.0,1,FY25,Q2
PAT (INR Crs),PSU BANK,CANBK,Q3-FY25,4104.0,2,FY25,Q3
PAT (INR Crs),PSU BANK,CANBK,Q4-FY25,5004.0,3,FY25,Q4
PAT (INR Crs),PSU BANK,CANBK,Q1-FY26,4752.0,4,FY26,Q1
PAT (INR Crs),PSU BANK,CANBK,Q2-FY26,4774.0,5,FY26,Q2
PAT (INR Crs),PSU BANK,CANBK,Q3-FY26,5155.0,6,FY26,Q3
PCR,PSU BANK,CANBK,Q1-FY25,0.8922,0,FY25,Q1
PCR,PSU BANK,CANBK,Q2-FY25,0.9089,1,FY25,Q2
PCR,PSU BANK,CANBK,Q3-FY25,0.9126,2,FY25,Q3
PCR,PSU BANK,CANBK,Q4-FY25,0.927,3,FY25,Q4
PCR,PSU BANK,CANBK,Q1-FY26,0.9317,4,FY26,Q1
PCR,PSU BANK,CANBK,Q2-FY26,0.9359,5,FY26,Q2
PCR,PSU BANK,CANBK,Q3-FY26,0.9419,6,FY26,Q3
RoA,PSU BANK,CANBK,Q1-FY25,0.0105,0,FY25,Q1
RoA,PSU BANK,CANBK,Q2-FY25,0.0105,1,FY25,Q2
RoA,PSU BANK,CANBK,Q3-FY25,0.0101,2,FY25,Q3
RoA,PSU BANK,CANBK,Q4-FY25,0.0125,3,FY25,Q4
RoA,PSU BANK,CANBK,Q1-FY26,0.0114,4,FY26,Q1
RoA,PSU BANK,CANBK,Q2-FY26,0.011,5,FY26,Q2
RoA,PSU BANK,CANBK,Q3-FY26,0.0113,6,FY26,Q3
RoE,PSU BANK,CANBK,Q1-FY25,0.2088,0,FY25,Q1
RoE,PSU BANK,CANBK,Q2-FY25,0.1978,1,FY25,Q2
RoE,PSU BANK,CANBK,Q3-FY25,0.2106,2,FY25,Q3
RoE,PSU BANK,CANBK,Q4-FY25,0.2323,3,FY25,Q4
RoE,PSU BANK,CANBK,Q1-FY26,0.2105,4,FY26,Q1
RoE,PSU BANK,CANBK,Q2-FY26,0.2,5,FY26,Q2
RoE,PSU BANK,CANBK,Q3-FY26,0.2055,6,FY26,Q3
Yields,PSU BANK,CANBK,Q1-FY25,0.0866,0,FY25,Q1
Yields,PSU BANK,CANBK,Q2-FY25,0.0877,1,FY25,Q2
Yields,PSU BANK,CANBK,Q3-FY25,0.0879,2,FY25,Q3
Yields,PSU BANK,CANBK,Q4-FY25,0.0883,3,FY25,Q4
Yields,PSU BANK,CANBK,Q1-FY26,0.0847,4,FY26,Q1
Yields,PSU BANK,CANBK,Q2-FY26,0.084,5,FY26,Q2
Yields,PSU BANK,CANBK,Q3-FY26,0.0843,6,FY26,Q3
Advances (INR Crs),PRIVATE BANK,CSBBBANK,Q1-FY25,24844.0,0,FY25,Q1
Advances (INR Crs),PRIVATE BANK,CSBBBANK,Q2-FY25,26602.1,1,FY25,Q2
Advances (INR Crs),PRIVATE BANK,CSBBBANK,Q3-FY25,28639.0,2,FY25,Q3
Advances (INR Crs),PRIVATE BANK,CSBBBANK,Q4-FY25,31507.1,3,FY25,Q4
Advances (INR Crs),PRIVATE BANK,CSBBBANK,Q1-FY26,32552.0,4,FY26,Q1
Advances (INR Crs),PRIVATE BANK,CSBBBANK,Q2-FY26,34712.0,5,FY26,Q2
Advances (INR Crs),PRIVATE BANK,CSBBBANK,Q3-FY26,37208.0,6,FY26,Q3
CAR,PRIVATE BANK,CSBBBANK,Q1-FY25,0.2361,0,FY25,Q1
CAR,PRIVATE BANK,CSBBBANK,Q2-FY25,0.2274,1,FY25,Q2
CAR,PRIVATE BANK,CSBBBANK,Q3-FY25,0.2108,2,FY25,Q3
CAR,PRIVATE BANK,CSBBBANK,Q4-FY25,0.2246,3,FY25,Q4
CAR,PRIVATE BANK,CSBBBANK,Q1-FY26,0.2171,4,FY26,Q1
CAR,PRIVATE BANK,CSBBBANK,Q2-FY26,0.2099,5,FY26,Q2
CAR,PRIVATE BANK,CSBBBANK,Q3-FY26,0.1941,6,FY26,Q3
CASA,PRIVATE BANK,CSBBBANK,Q1-FY25,0.249,0,FY25,Q1
CASA,PRIVATE BANK,CSBBBANK,Q2-FY25,0.241,1,FY25,Q2
CASA,PRIVATE BANK,CSBBBANK,Q3-FY25,0.241,2,FY25,Q3
CASA,PRIVATE BANK,CSBBBANK,Q4-FY25,0.242,3,FY25,Q4
CASA,PRIVATE BANK,CSBBBANK,Q1-FY26,0.235,4,FY26,Q1
CASA,PRIVATE BANK,CSBBBANK,Q2-FY26,0.2117,5,FY26,Q2
CASA,PRIVATE BANK,CSBBBANK,Q3-FY26,0.2055,6,FY26,Q3
CoFs,PRIVATE BANK,CSBBBANK,Q1-FY25,0.0608,0,FY25,Q1
CoFs,PRIVATE BANK,CSBBBANK,Q2-FY25,0.0625,1,FY25,Q2
CoFs,PRIVATE BANK,CSBBBANK,Q3-FY25,0.0632,2,FY25,Q3
CoFs,PRIVATE BANK,CSBBBANK,Q4-FY25,0.0657,3,FY25,Q4
CoFs,PRIVATE BANK,CSBBBANK,Q1-FY26,0.0662,4,FY26,Q1
CoFs,PRIVATE BANK,CSBBBANK,Q2-FY26,0.0653,5,FY26,Q2
CoFs,PRIVATE BANK,CSBBBANK,Q3-FY26,0.0646,6,FY26,Q3
Cost to Income,PRIVATE BANK,CSBBBANK,Q1-FY25,0.677,0,FY25,Q1
Cost to Income,PRIVATE BANK,CSBBBANK,Q2-FY25,0.646,1,FY25,Q2
Cost to Income,PRIVATE BANK,CSBBBANK,Q3-FY25,0.629,2,FY25,Q3
Cost to Income,PRIVATE BANK,CSBBBANK,Q4-FY25,0.579,3,FY25,Q4
Cost to Income,PRIVATE BANK,CSBBBANK,Q1-FY26,0.647,4,FY26,Q1
Cost to Income,PRIVATE BANK,CSBBBANK,Q2-FY26,0.6386,5,FY26,Q2
Cost to Income,PRIVATE BANK,CSBBBANK,Q3-FY26,0.6008230452674898,6,FY26,Q3
Credit Cost,PRIVATE BANK,CSBBBANK,Q1-FY25,0.0022,0,FY25,Q1
Credit Cost,PRIVATE BANK,CSBBBANK,Q2-FY25,0.0015,1,FY25,Q2
Credit Cost,PRIVATE BANK,CSBBBANK,Q3-FY25,0.0017,2,FY25,Q3
Credit Cost,PRIVATE BANK,CSBBBANK,Q4-FY25,0.0057,3,FY25,Q4
Credit Cost,PRIVATE BANK,CSBBBANK,Q1-FY26,0.0053,4,FY26,Q1
Credit Cost,PRIVATE BANK,CSBBBANK,Q2-FY26,0.0053,5,FY26,Q2
Credit Cost,PRIVATE BANK,CSBBBANK,Q3-FY26,0.0063,6,FY26,Q3
Deposits (INR Crs),PRIVATE BANK,CSBBBANK,Q1-FY25,29920.0,0,FY25,Q1
Deposits (INR Crs),PRIVATE BANK,CSBBBANK,Q2-FY25,31840.2,1,FY25,Q2
Deposits (INR Crs),PRIVATE BANK,CSBBBANK,Q3-FY25,33407.0,2,FY25,Q3
Deposits (INR Crs),PRIVATE BANK,CSBBBANK,Q4-FY25,36861.5,3,FY25,Q4
